model,scope,subgroup,metric,horizon_years,horizon_days,n,n_events,estimate,ci_lo,ci_hi,suppressed,note
M0_primary,overall,,calibration_in_the_large_risk_diff,2.0,730.0,371.0,46.0,0.011990240441200173,-0.026210120171172142,0.056532152689295054,False,interpret via CI: 54 events < 100
M0_primary,overall,,ipcw_cd_auroc_G_from_val,2.0,730.0,371.0,46.0,0.6169813879985587,,,False,robustness: censoring curve estimated on val instead of train
M0_primary,overall,,ipcw_cd_auroc,5.0,1825.0,371.0,54.0,0.6980078172295499,0.6114233027658358,0.7819216816657518,False,interpret via CI: 54 events < 100; horizon clamped from day 1826: administrative censoring at day 1826 leaves no controls at the nominal horizon
M0_primary,overall,,calibration_slope,5.0,1825.0,371.0,54.0,1.4568733553707671,0.8528587463489495,2.3012376299991715,False,interpret via CI: 54 events < 100; horizon clamped from day 1826: administrative censoring at day 1826 leaves no controls at the nominal horizon
M0_primary,overall,,calibration_intercept_cloglog,5.0,1825.0,371.0,54.0,0.04818630903740717,-0.3143742176618412,0.3571542145068503,False,interpret via CI: 54 events < 100; horizon clamped from day 1826: administrative censoring at day 1826 leaves no controls at the nominal horizon
M0_primary,overall,,mean_predicted_risk,5.0,1825.0,371.0,54.0,0.20998857212933844,0.2022083795404734,0.21890271652353646,False,interpret via CI: 54 events < 100; horizon clamped from day 1826: administrative censoring at day 1826 leaves no controls at the nominal horizon
M0_primary,overall,,km_observed_risk,5.0,1825.0,371.0,54.0,0.1995641722939382,0.1500462409127091,0.2566815906116594,False,interpret via CI: 54 events < 100; horizon clamped from day 1826: administrative censoring at day 1826 leaves no controls at the nominal horizon
M0_primary,overall,,calibration_in_the_large_risk_diff,5.0,1825.0,371.0,54.0,-0.01042439983540025,-0.06112303070079543,0.04452761512320424,False,interpret via CI: 54 events < 100; horizon clamped from day 1826: administrative censoring at day 1826 leaves no controls at the nominal horizon
M0_primary,overall,,ipcw_cd_auroc_G_from_val,5.0,1825.0,371.0,54.0,0.6982059207597813,,,False,robustness: censoring curve estimated on val instead of train
M0_primary,overall,,ipcw_cd_auroc_paired_diff_5y_minus_2y,,,371.0,54.0,0.08081560130920495,0.011713637663894733,0.1588443184707425,False,"PAIRED patient-level bootstrap (protocol section 18): day 1825 minus day 730, both evaluated on the same resampled patients within each replicate; P(diff <= 0) = 0.014 over 500 valid replicates"
M0_primary,subgroup:sex,Female,harrell_cindex,,,233.0,35.0,,,,True,suppressed: 35 events < 50
M0_primary,subgroup:sex,Female,ipcw_cd_auroc,2.0,730.0,233.0,35.0,,,,True,suppressed: 35 events < 50
M0_primary,subgroup:sex,Female,calibration_slope,2.0,730.0,233.0,35.0,,,,True,suppressed: 35 events < 50
M0_primary,subgroup:sex,Female,calibration_in_the_large_risk_diff,2.0,730.0,233.0,35.0,,,,True,suppressed: 35 events < 50
M0_primary,subgroup:sex,Male,harrell_cindex,,,138.0,19.0,,,,True,suppressed: 19 events < 50
M0_primary,subgroup:sex,Male,ipcw_cd_auroc,2.0,730.0,138.0,19.0,,,,True,suppressed: 19 events < 50
M0_primary,subgroup:sex,Male,calibration_slope,2.0,730.0,138.0,19.0,,,,True,suppressed: 19 events < 50
M0_primary,subgroup:sex,Male,calibration_in_the_large_risk_diff,2.0,730.0,138.0,19.0,,,,True,suppressed: 19 events < 50
M0_primary,subgroup:age,<65,harrell_cindex,,,158.0,26.0,,,,True,suppressed: 26 events < 50
M0_primary,subgroup:age,<65,ipcw_cd_auroc,2.0,730.0,158.0,26.0,,,,True,suppressed: 26 events < 50
M0_primary,subgroup:age,<65,calibration_slope,2.0,730.0,158.0,26.0,,,,True,suppressed: 26 events < 50
