model,description,scope,metric,horizon_years,horizon_days,n,n_events,estimate,ci_lo,ci_hi,n_parameters,identified_parameters,penalizer,p_two_sided
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,slope,0.999,365.0,359,52,0.07134627497890667,-0.6219284761829252,0.7416591964278048,,,,0.892
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,intercept,0.999,365.0,359,52,-0.045541853181260535,-0.10899617811261869,0.02255683911266485,,,,0.2
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,predrisk,0.999,365.0,359,52,0.002177260543541157,-0.003357979951587397,0.007938042406404514,,,,0.468
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,obsrisk,0.999,365.0,359,52,0.0,0.0,0.0,,,,1.0
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,citl,0.999,365.0,359,52,-0.002177260543541157,-0.007938042406404515,0.003357979951587396,,,,0.468
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,ipcw_cd_auroc,1.999,730.0,359,52,0.06813955693162688,-0.023664867465596335,0.13900438404971835,,,,0.112
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,slope,1.999,730.0,359,52,0.0713149237098013,-0.48232188410805055,0.5711246505951602,,,,0.892
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,intercept,1.999,730.0,359,52,-0.05012690006992923,-0.12178180727130831,0.02339664057495532,,,,0.192
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,predrisk,1.999,730.0,359,52,0.002725861514713712,-0.004880771171186538,0.010590408615849986,,,,0.5
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,obsrisk,1.999,730.0,359,52,0.0,0.0,0.0,,,,1.0
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,citl,1.999,730.0,359,52,-0.002725861514713712,-0.01059040861584999,0.004880771171186538,,,,0.5
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,ipcw_cd_auroc,4.997,1825.0,359,52,0.03388224649240601,-0.0455478520235469,0.10115819482525183,,,,0.444
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,slope,4.997,1825.0,359,52,-0.37427586934700807,-0.9891415661277808,0.15539735888185455,,,,0.176
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,intercept,4.997,1825.0,359,52,-0.02718493234215762,-0.13029868542248063,0.07623928311565821,,,,0.596
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,predrisk,4.997,1825.0,359,52,0.0005331193873417961,-0.010335637628829374,0.011523723377980768,,,,0.96
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,obsrisk,4.997,1825.0,359,52,0.0,0.0,0.0,,,,1.0
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,citl,4.997,1825.0,359,52,-0.0005331193873417961,-0.01152372337798077,0.01033563762882937,,,,0.96
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,cindex,,,359,52,0.07677874512158511,0.003539593633542603,0.14187677672182644,,,,0.036
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,ipcw_cd_auroc,0.999,365.0,359,52,0.08598467456265291,-0.00216594963522462,0.16730659120802208,,,,0.06
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,slope,0.999,365.0,359,52,0.07697711173789434,-0.5753814730980853,0.7050948057944875,,,,0.876
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,intercept,0.999,365.0,359,52,0.002738948316196692,-0.06129003661653545,0.07314156303180856,,,,0.876
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,predrisk,0.999,365.0,359,52,-0.0023428810397164435,-0.007755931809453226,0.0035235578892325067,,,,0.328
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,obsrisk,0.999,365.0,359,52,0.0,0.0,0.0,,,,1.0
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,citl,0.999,365.0,359,52,0.0023428810397164435,-0.0035235578892325085,0.007755931809453225,,,,0.328
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,ipcw_cd_auroc,1.999,730.0,359,52,0.06821825258086467,-0.024107942287035236,0.14109285705673102,,,,0.124
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,slope,1.999,730.0,359,52,0.08964205880681742,-0.45587812309017284,0.5570442844236463,,,,0.792
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,intercept,1.999,730.0,359,52,-0.015041182024700187,-0.08943653836894772,0.056370026620073226,,,,0.736
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,predrisk,1.999,730.0,359,52,-0.0014522613853784894,-0.008872633390979313,0.00655069760648836,,,,0.608
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,obsrisk,1.999,730.0,359,52,0.0,0.0,0.0,,,,1.0
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,citl,1.999,730.0,359,52,0.0014522613853784894,-0.006550697606488363,0.008872633390979313,,,,0.608
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,ipcw_cd_auroc,4.997,1825.0,359,52,0.03611989500054713,-0.04242779340194704,0.10172369961265608,,,,0.392
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,slope,4.997,1825.0,359,52,-0.3241454969507369,-0.9019217339800246,0.21260615420245887,,,,0.22
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,intercept,4.997,1825.0,359,52,-0.011804145209440193,-0.11895150763488778,0.09020811788926852,,,,0.776
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,predrisk,4.997,1825.0,359,52,-0.0013834090376297348,-0.01172662654847445,0.00977976288467935,,,,0.696
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,obsrisk,4.997,1825.0,359,52,0.0,0.0,0.0,,,,1.0
paired_diff:M1_klg-M0_as_fitted,paired patient-level bootstrap difference vs M0_as_fitted on the same eligible validation patients (500 valid replicates),klg_eligible_val,citl,4.997,1825.0,359,52,0.0013834090376297348,-0.00977976288467935,0.01172662654847445,,,,0.696
